        46       561 1.06400+2 1.20200+1 46-Pd-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 5.04849-6-3.98369+1 6.16311+0-4.57182+1 5.88133+0 8.37240+0 0.0       8.37240+0 6.30099+1
 5.05690-6-3.92718+1 6.72823+0-4.57207+1 6.44891+0 7.24258+0 0.0       7.24258+0 5.97077+1
 5.06532-6-3.89907+1 7.00932+0-4.57232+1 6.73247+0 6.10895+0 0.0       6.10895+0 5.58945+1
 5.07734-6-3.89388+1 7.06120+0-4.57267+1 6.78787+0 4.67595+0 0.0       4.67595+0 4.98888+1
 5.08937-6-3.91592+1 6.84085+0-4.57302+1 6.57105+0 3.47767+0 0.0       3.47767+0 4.36270+1
 5.10139-6-3.95297+1 6.47034+0-4.57337+1 6.20407+0 2.51722+0 0.0       2.51722+0 3.74790+1
 5.11341-6-3.99409+1 6.05905+0-4.57373+1 5.79630+0 1.75416+0 0.0       1.75416+0 3.17160+1
 5.12544-6-4.05063+1 5.49371+0-4.57408+1 5.23448+0 9.87490-1 0.0       9.87490-1 2.65110+1
 5.13379-6-4.09662+1 5.03377+0-4.57432+1 4.77700+0 7.62569-1 0.0       7.62569-1 2.32721+1
 5.14598-6-4.14659+1 4.53412+0-4.57468+1 4.28091+0 4.92288-1 0.0       4.92288-1 1.91245+1
 5.15816-6-4.19055+1 4.09453+0-4.57504+1 3.84490+0 2.93368-1 0.0       2.93368-1 1.56437+1
 5.17035-6-4.22957+1 3.70433+0-4.57539+1 3.45828+0 1.61384-1 0.0       1.61384-1 1.27767+1
 5.18254-6-4.26274+1 3.37264+0-4.57575+1 3.13016+0 8.19528-2 0.0       8.19528-2 1.04502+1
 5.19472-6-4.29340+1 3.06603+0-4.57611+1 2.82712+0 0.0       0.0       0.0       8.58296+0
 5.22104-6-4.34511+1 2.54889+0-4.57688+1 2.31770+0 0.0       0.0       0.0       5.74814+0
 5.24654-6-4.37973+1 2.20268+0-4.57763+1 1.97896+0 0.0       0.0       0.0       4.06017+0
 5.29594-6-4.42781+1 1.72186+0-4.57908+1 1.51263+0 0.0       0.0       0.0       2.30550+0
 5.34226-6-4.46029+1 1.39714+0-4.58043+1 1.20149+0 0.0       0.0       0.0       1.47056+0
 5.38568-6-4.48429+1 1.15711+0-4.58171+1 9.74188-1 0.0       0.0       0.0       9.99376-1
 5.46709-6-4.51929+1 8.07143-1-4.58409+1 6.48092-1 0.0       0.0       0.0       4.90878-1
 5.53833-6-4.54347+1 5.65290-1-4.58618+1 4.27125-1 0.0       0.0       0.0       2.49854-1
 5.66299-6-4.57831+1 2.16895-1-4.58984+1 1.15282-1 0.0       0.0       0.0       5.50990-2
 5.68160-6-4.58299+1 1.70091-1-4.59038+1 7.39339-2 0.0       0.0       0.0       4.17774-2
 5.84998-6-4.62752+1-2.75167-1-4.59750+1-3.00162-1 0.0       0.0       0.0       4.61845-2
 5.90720-6-4.64427+1-4.42692-1-4.59992+1-4.43506-1 0.0       0.0       0.0       1.11188-1
 5.95809-6-4.66149+1-6.14908-1-4.60248+1-5.90105-1 0.0       0.0       0.0       2.20160-1
 6.00739-6-4.68189+1-8.18871-1-4.60496+1-7.69249-1 0.0       0.0       0.0       3.42466-1
 6.03698-6-4.69723+1-9.72270-1-4.60645+1-9.07757-1 0.0       0.0       0.0       3.86255-1
 6.04011-6-4.69906+1-9.90603-1-4.60661+1-9.24512-1 1.36354-8 0.0       1.36354-8 3.89097-1
 6.05219-6-4.70663+1-1.06626+0-4.60722+1-9.94087-1 2.67217-7 0.0       2.67217-7 3.98587-1
