        64       825 1.57250+2 7.90040+0 64-Gd-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 2.56083-6-6.12425+1 2.75750+0-5.00705+1-1.11720+1 2.6795-14 0.0       2.6795-14 5.19858+0
 2.56705-6-6.11992+1 2.80085+0-5.00711+1-1.11281+1 3.8499-14 0.0       3.8499-14 5.36347+0
 2.57328-6-6.11547+1 2.84535+0-5.00717+1-1.10829+1 5.1063-14 0.0       5.1063-14 5.53632+0
 2.57951-6-6.11089+1 2.89107+0-5.00723+1-1.10366+1 6.2519-14 0.0       6.2519-14 5.71745+0
 2.58573-6-6.10619+1 2.93809+0-5.00730+1-1.09890+1 7.0661-14 0.0       7.0661-14 5.90733+0
 2.59196-6-6.10135+1 2.98650+0-5.00736+1-1.09399+1 7.3721-14 0.0       7.3721-14 6.10657+0
 2.59819-6-6.09636+1 3.03640+0-5.00742+1-1.08894+1 7.1001-14 0.0       7.1001-14 6.31598+0
 2.60441-6-6.09121+1 3.08790+0-5.00748+1-1.08373+1 6.3123-14 0.0       6.3123-14 6.53655+0
 2.61064-6-6.08589+1 3.14113+0-5.00755+1-1.07834+1 5.1804-14 0.0       5.1804-14 6.76953+0
 2.62309-6-6.07467+1 3.25333+0-5.00767+1-1.06700+1 2.7446-14 0.0       2.7446-14 7.27924+0
 2.62932-6-6.06873+1 3.31267+0-5.00773+1-1.06100+1 1.7718-14 0.0       1.7718-14 7.56007+0
 2.63555-6-6.06256+1 3.37445+0-5.00780+1-1.05476+1 1.0559-14 0.0       1.0559-14 7.86144+0
 2.64177-6-6.05611+1 3.43892+0-5.00786+1-1.04825+1 5.8085-15 0.0       5.8085-15 8.18614+0
 2.64800-6-6.04936+1 3.50639+0-5.00792+1-1.04144+1 2.9496-15 0.0       2.9496-15 8.53727+0
 2.65423-6-6.04228+1 3.57722+0-5.00798+1-1.03429+1 0.0       0.0       0.0       8.91855+0
 2.68948-6-5.99298+1 4.07019+0-5.00834+1-9.84643+0 0.0       0.0       0.0       1.19929+1
 2.71593-6-5.93440+1 4.65602+0-5.00860+1-9.25795+0 0.0       0.0       0.0       1.63829+1
 2.72474-6-5.90003+1 4.99970+0-5.00869+1-8.91338+0 0.0       0.0       0.0       1.84162+1
 2.73145-6-5.87008+1 5.29920+0-5.00876+1-8.61321+0 1.56229-1 0.0       1.56229-1 2.00961+1
 2.73816-6-5.84086+1 5.59142+0-5.00883+1-8.32032+0 3.09134-1 0.0       3.09134-1 2.18040+1
 2.74486-6-5.80812+1 5.91878+0-5.00889+1-7.99228+0 5.64658-1 0.0       5.64658-1 2.34255+1
 2.75157-6-5.77741+1 6.22594+0-5.00896+1-7.68445+0 9.52092-1 0.0       9.52092-1 2.48220+1
 2.75828-6-5.75515+1 6.44851+0-5.00903+1-7.46121+0 1.48192+0 0.0       1.48192+0 2.58478+1
 2.76498-6-5.74880+1 6.51200+0-5.00910+1-7.39705+0 2.12925+0 0.0       2.12925+0 2.63740+1
 2.77169-6-5.76470+1 6.35304+0-5.00916+1-7.55533+0 2.82411+0 0.0       2.82411+0 2.63138+1
 2.77840-6-5.80529+1 5.94706+0-5.00923+1-7.96064+0 3.45772+0 0.0       3.45772+0 2.56437+1
 2.78510-6-5.86692+1 5.33077+0-5.00930+1-8.57626+0 3.90797+0 0.0       3.90797+0 2.44141+1
 2.79181-6-5.93829+1 4.61710+0-5.00936+1-9.28925+0 4.07726+0 0.0       4.07726+0 2.27451+1
 2.79852-6-6.00786+1 3.92140+0-5.00943+1-9.98428+0 3.98951+0 0.0       3.98951+0 2.08072+1
