        89       916 2.27000+2 1.00700+1 89-Ac-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 1.87060-6-8.79779+1 1.02210+0-6.97208+1-1.82571+1 1.0315-14 0.0       1.0315-14 7.24551-1
 1.87508-6-8.79634+1 1.03660+0-6.97212+1-1.82422+1 8.4656-15 0.0       8.4656-15 7.45219-1
 1.88402-6-8.79341+1 1.06586+0-6.97222+1-1.82120+1 4.4851-15 0.0       4.4851-15 7.88459-1
 1.88849-6-8.79193+1 1.08071+0-6.97227+1-1.81966+1 2.8954-15 0.0       2.8954-15 8.11232-1
 1.89297-6-8.79043+1 1.09572+0-6.97232+1-1.81811+1 1.7255-15 0.0       1.7255-15 8.34935-1
 1.89744-6-8.78891+1 1.11088+0-6.97237+1-1.81655+1 9.4920-16 0.0       9.4920-16 8.59689-1
 1.90191-6-8.78738+1 1.12620+0-6.97241+1-1.81497+1 4.8201-16 0.0       4.8201-16 8.85582-1
 1.90638-6-8.78583+1 1.14168+0-6.97246+1-1.81337+1 0.0       0.0       0.0       9.12655-1
 2.00000-6-8.74856+1 1.51440+0-6.97349+1-1.77507+1 0.0       0.0       0.0       1.59809+0
 2.04935-6-8.72616+1 1.73841+0-6.97420+1-1.75196+1 0.0       0.0       0.0       2.09687+0
 2.05439-6-8.72361+1 1.76390+0-6.97427+1-1.74934+1 1.2696-15 0.0       1.2696-15 2.15635+0
 2.05944-6-8.72102+1 1.78978+0-6.97434+1-1.74668+1 2.5121-15 0.0       2.5121-15 2.21810+0
 2.06448-6-8.71839+1 1.81606+0-6.97441+1-1.74398+1 4.5886-15 0.0       4.5886-15 2.28221+0
 2.06952-6-8.71573+1 1.84275+0-6.97449+1-1.74124+1 7.7371-15 0.0       7.7371-15 2.34873+0
 2.07457-6-8.71301+1 1.86986+0-6.97456+1-1.73845+1 1.2043-14 0.0       1.2043-14 2.41766+0
 2.07961-6-8.71026+1 1.89740+0-6.97463+1-1.73563+1 1.7303-14 0.0       1.7303-14 2.48901+0
 2.08466-6-8.70746+1 1.92539+0-6.97470+1-1.73276+1 2.2950-14 0.0       2.2950-14 2.56276+0
 2.08970-6-8.70462+1 1.95384+0-6.97478+1-1.72984+1 2.8099-14 0.0       2.8099-14 2.63897+0
 2.09475-6-8.70172+1 1.98276+0-6.97485+1-1.72687+1 3.1758-14 0.0       3.1758-14 2.71767+0
 2.09979-6-8.69878+1 2.01217+0-6.97492+1-1.72386+1 3.3133-14 0.0       3.3133-14 2.79894+0
 2.10483-6-8.69579+1 2.04208+0-6.97500+1-1.72080+1 3.1911-14 0.0       3.1911-14 2.88291+0
 2.10988-6-8.69275+1 2.07250+0-6.97507+1-1.71768+1 2.8370-14 0.0       2.8370-14 2.96969+0
 2.11492-6-8.68965+1 2.10346+0-6.97514+1-1.71451+1 2.3283-14 0.0       2.3283-14 3.05948+0
 2.12501-6-8.68329+1 2.16705+0-6.97529+1-1.70801+1 1.2335-14 0.0       1.2335-14 3.24905+0
 2.13006-6-8.68003+1 2.19972+0-6.97536+1-1.70467+1 7.9634-15 0.0       7.9634-15 3.34942+0
 2.13510-6-8.67670+1 2.23300+0-6.97543+1-1.70127+1 4.7456-15 0.0       4.7456-15 3.45394+0
 2.14014-6-8.67331+1 2.26691+0-6.97550+1-1.69781+1 2.6106-15 0.0       2.6106-15 3.56287+0
 2.14519-6-8.66985+1 2.30148+0-6.97558+1-1.69428+1 1.3257-15 0.0       1.3257-15 3.67636+0
 2.15023-6-8.66633+1 2.33672+0-6.97565+1-1.69068+1 0.0       0.0       0.0       3.79441+0
 2.19810-6-8.62890+1 2.71096+0-6.97634+1-1.65257+1 0.0       0.0       0.0       5.12843+0
 2.23400-6-8.59455+1 3.05451+0-6.97685+1-1.61770+1 0.0       0.0       0.0       6.57538+0
 2.28786-6-8.52464+1 3.75360+0-6.97768+1-1.54696+1 0.0       0.0       0.0       1.01066+1
 2.31478-6-8.47164+1 4.28362+0-6.97811+1-1.49353+1 0.0       0.0       0.0       1.36964+1
 2.33498-6-8.40840+1 4.91596+0-6.97843+1-1.42997+1 0.0       0.0       0.0       1.88306+1
 2.34171-6-8.37114+1 5.28856+0-6.97854+1-1.39261+1 0.0       0.0       0.0       2.11512+1
 2.34748-6-8.33553+1 5.64468+0-6.97864+1-1.35689+1 1.97469-1 0.0       1.97469-1 2.33071+1
 2.35324-6-8.30109+1 5.98908+0-6.97875+1-1.32235+1 3.90737-1 0.0       3.90737-1 2.55074+1
 2.35900-6-8.26251+1 6.37487+0-6.97885+1-1.28366+1 7.13713-1 0.0       7.13713-1 2.75989+1
 2.36477-6-8.22687+1 6.73134+0-6.97896+1-1.24791+1 1.20342+0 0.0       1.20342+0 2.93921+1
 2.37053-6-8.20240+1 6.97603+0-6.97907+1-1.22333+1 1.87311+0 0.0       1.87311+0 3.06831+1
 2.37629-6-8.19867+1 7.01333+0-6.97917+1-1.21949+1 2.69131+0 0.0       2.69131+0 3.12848+1
 2.38206-6-8.22391+1 6.76087+0-6.97928+1-1.24463+1 3.56959+0 0.0       3.56959+0 3.10612+1
 2.38782-6-8.28161+1 6.18389+0-6.97939+1-1.30223+1 4.37046+0 0.0       4.37046+0 2.99588+1
 2.39359-6-8.36783+1 5.32166+0-6.97949+1-1.38834+1 4.93957+0 0.0       4.93957+0 2.80256+1
 2.39935-6-8.47095+1 4.29046+0-6.97960+1-1.49135+1 5.15354+0 0.0       5.15354+0 2.54121+1
 2.40511-6-8.57435+1 3.25645+0-6.97971+1-1.59465+1 4.96336+0 0.0       4.96336+0 2.23522+1
 2.41088-6-8.66126+1 2.38741+0-6.97981+1-1.68145+1 4.41266+0 0.0       4.41266+0 1.91283+1
 2.41376-6-8.69502+1 2.04981+0-6.97987+1-1.71515+1 4.01752+0 0.0       4.01752+0 1.75457+1
 2.41664-6-8.71962+1 1.80375+0-6.97992+1-1.73970+1 3.62142+0 0.0       3.62142+0 1.60280+1
 2.41952-6-8.73689+1 1.63106+0-6.97997+1-1.75692+1 3.18300+0 0.0       3.18300+0 1.46050+1
 2.42241-6-8.74503+1 1.54971+0-6.98003+1-1.76500+1 2.74354+0 0.0       2.74354+0 1.33024+1
 2.42529-6-8.74641+1 1.53590+0-6.98008+1-1.76633+1 2.33159+0 0.0       2.33159+0 1.21409+1
